,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept_d,4.94,0.04,4.86,5.02,0.0,0.0,4089.23,3112.64,1.0
beta_difficulty,-3.16,0.04,-3.24,-3.08,0.0,0.0,4377.48,3035.07,1.0
beta_stim,-0.03,0.04,-0.1,0.04,0.0,0.0,5968.65,2460.81,1.0
criterion[0],-0.02,0.03,-0.07,0.04,0.0,0.0,6927.72,2893.86,1.0
criterion[1],0.01,0.03,-0.05,0.06,0.0,0.0,6878.87,2813.32,1.0
criterion[2],-0.02,0.03,-0.08,0.04,0.0,0.0,7489.8,3059.31,1.0
criterion[3],0.03,0.03,-0.02,0.09,0.0,0.0,8004.3,2751.05,1.0
criterion[4],0.0,0.03,-0.05,0.06,0.0,0.0,8757.88,3219.74,1.0
criterion[5],0.04,0.03,-0.02,0.09,0.0,0.0,8819.63,2908.29,1.0
criterion[6],0.0,0.03,-0.05,0.06,0.0,0.0,9205.11,2542.93,1.0
criterion[7],-0.02,0.03,-0.08,0.04,0.0,0.0,6531.71,2938.35,1.0
criterion[8],-0.02,0.03,-0.07,0.04,0.0,0.0,8058.95,2960.44,1.0
criterion[9],-0.01,0.03,-0.07,0.05,0.0,0.0,7914.6,3014.87,1.0
hit_rate[0],0.92,0.0,0.92,0.93,0.0,0.0,5765.35,3185.06,1.0
hit_rate[1],0.92,0.0,0.92,0.93,0.0,0.0,6334.76,2729.66,1.0
hit_rate[2],0.71,0.01,0.7,0.73,0.0,0.0,6713.52,3031.82,1.0
hit_rate[3],0.71,0.01,0.7,0.72,0.0,0.0,5598.82,2854.94,1.0
hit_rate[4],0.92,0.0,0.92,0.93,0.0,0.0,5854.06,3137.58,1.0
hit_rate[5],0.92,0.0,0.91,0.92,0.0,0.0,6765.83,2731.5,1.0
hit_rate[6],0.71,0.01,0.69,0.72,0.0,0.0,6532.24,3135.88,1.0
hit_rate[7],0.7,0.01,0.69,0.72,0.0,0.0,5873.33,3199.91,1.0
hit_rate[8],0.92,0.0,0.92,0.93,0.0,0.0,5715.47,3048.39,1.0
hit_rate[9],0.92,0.0,0.92,0.93,0.0,0.0,6639.0,2923.16,1.0
hit_rate[10],0.71,0.01,0.7,0.73,0.0,0.0,7045.02,2874.26,1.0
hit_rate[11],0.71,0.01,0.7,0.72,0.0,0.0,6808.81,3292.36,1.0
hit_rate[12],0.92,0.0,0.91,0.92,0.0,0.0,5443.61,2846.9,1.0
